,partitions,subjects,data_srcs,magnitudes
0,0,0,0,0.9803221311407567
1,0,1,0,0.986740906971967
2,0,2,0,0.9838881831838742
3,0,3,0,0.9878430363586718
4,0,4,0,0.9847012778735154
5,0,5,0,0.9926867526486897
6,0,6,0,0.9889433283738674
7,1,0,0,0.9928453888982186
8,1,1,0,0.9944189261825497
9,1,2,0,0.9918696923204509
10,1,3,0,0.9951946223712155
11,1,4,0,0.9925639733767673
12,1,5,0,0.9969147710278488
13,1,6,0,0.9938789668220331
14,0,0,1,0.9799428549589141
15,0,1,1,0.987115813882902
16,0,2,1,0.9835832685948664
17,0,3,1,0.9874584809837337
18,0,4,1,0.9856842649448356
19,0,5,1,0.9939316926761516
20,0,6,1,0.9892586935870268
21,1,0,1,0.9924844434830904
22,1,1,1,0.9941667387639646
23,1,2,1,0.9922456515410957
24,1,3,1,0.9950722328916629
25,1,4,1,0.993298527908287
26,1,5,1,0.9978833455682774
27,1,6,1,0.9939913870896002
