,partitions,subjects,domains,wb_membership,depth,values
0,0,0,0,0,-1,0.378748164110045
1,0,1,0,0,-1,0.5087167302749767
2,0,2,0,0,-1,0.3688587745258791
3,0,3,0,0,-1,0.46354499246027586
4,0,4,0,0,-1,0.36007900945158106
5,0,5,0,0,-1,0.7169645259460871
6,0,6,0,0,-1,0.6091244165968669
7,0,0,0,1,-1,0.5577232502260699
8,0,1,0,1,-1,0.5716341059293053
9,0,2,0,1,-1,0.6161513103022881
10,0,3,0,1,-1,0.5570071280090451
11,0,4,0,1,-1,0.44730390974544243
12,0,5,0,1,-1,0.9818299486957622
13,0,6,0,1,-1,0.8433199587885887
14,0,0,1,0,-1,0.41797661496071997
15,0,1,1,0,-1,0.44187710413266595
16,0,2,1,0,-1,0.4495962499172177
17,0,3,1,0,-1,0.5063770269273722
18,0,4,1,0,-1,0.34144146034703793
19,0,5,1,0,-1,0.6848441324796963
20,0,6,1,0,-1,0.618175727554416
21,0,0,1,1,-1,0.8191197459385654
22,0,1,1,1,-1,0.6764485034586928
23,0,2,1,1,-1,0.6297593065009429
24,0,3,1,1,-1,0.6865302240694797
25,0,4,1,1,-1,0.5943681003248666
26,0,5,1,1,-1,0.7512213203397713
27,0,6,1,1,-1,0.8030822559255213
28,0,0,2,0,-1,0.2218560720060821
29,0,1,2,0,-1,0.36604787170139463
30,0,2,2,0,-1,0.2225861467817984
31,0,3,2,0,-1,0.35423563562021415
32,0,4,2,0,-1,0.34752857175350854
33,0,5,2,0,-1,0.6082899609788498
34,0,6,2,0,-1,0.39207623439876893
35,0,0,2,1,-1,0.2500719104228829
36,0,1,2,1,-1,0.41473706249608544
37,0,2,2,1,-1,0.21313015633005872
38,0,3,2,1,-1,0.35077280510207864
39,0,4,2,1,-1,0.3432687672730519
40,0,5,2,1,-1,0.5946891820954725
41,0,6,2,1,-1,0.40959517112583066
42,0,0,3,0,-1,0.542412351652563
43,0,1,3,0,-1,0.5614923215022387
44,0,2,3,0,-1,0.6003028702491503
45,0,3,3,0,-1,0.753982806193876
46,0,4,3,0,-1,0.6301405894349291
47,0,5,3,0,-1,0.82948089374087
48,0,6,3,0,-1,0.6287118235916107
49,0,0,3,1,-1,0.6723956021862985
50,0,1,3,1,-1,0.8145684617542543
51,0,2,3,1,-1,0.8530116016840599
52,0,3,3,1,-1,0.9267438205688852
53,0,4,3,1,-1,0.864428154145324
54,0,5,3,1,-1,1.0215348791375627
55,0,6,3,1,-1,0.8363933935740286
56,0,0,4,0,-1,0.4419440880915295
57,0,1,4,0,-1,0.5054230016161596
58,0,2,4,0,-1,0.4032708444322341
59,0,3,4,0,-1,0.6212728334769542
60,0,4,4,0,-1,0.465831407521988
61,0,5,4,0,-1,0.7517280114318019
62,0,6,4,0,-1,0.5123536239296456
63,0,0,4,1,-1,0.5902233004792756
64,0,1,4,1,-1,0.7561449800199402
65,0,2,4,1,-1,0.5400126252386823
66,0,3,4,1,-1,0.7328627594937208
67,0,4,4,1,-1,0.6944244623720723
68,0,5,4,1,-1,0.8018316678706032
69,0,6,4,1,-1,0.6141798958146544
70,0,0,0,0,0,0.48185100892025756
71,0,1,0,0,0,0.542714769509778
72,0,2,0,0,0,0.5060989391899009
73,0,3,0,0,0,0.5901679489844235
74,0,4,0,0,0,0.43632328198925
75,0,5,0,0,0,0.776565643081001
76,0,6,0,0,0,0.6926242260127129
77,0,0,0,1,0,0.6371161380460335
78,0,1,0,1,0,0.6007449716786096
79,0,2,0,1,0,0.7293077658668734
80,0,3,0,1,0,0.6408558313086257
81,0,4,0,1,0,0.5236618380894571
82,0,5,0,1,0,0.9262218273535043
83,0,6,0,1,0,0.8262140813973415
84,0,0,1,0,0,0.5206102593869968
85,0,1,1,0,0,0.545338722803592
86,0,2,1,0,0,0.5855309055419005
87,0,3,1,0,0,0.6029028064745308
88,0,4,1,0,0,0.4420881986165665
89,0,5,1,0,0,0.7039109891425026
90,0,6,1,0,0,0.6961996944974262
91,0,0,1,1,0,0.8141413779988262
92,0,1,1,1,0,0.7411547614218577
93,0,2,1,1,0,0.727938548028811
94,0,3,1,1,0,0.7157151954313421
95,0,4,1,1,0,0.7062122291391978
96,0,5,1,1,0,0.7725402965942749
97,0,6,1,1,0,0.8929751827300128
98,0,0,2,0,0,0.2934220938680236
99,0,1,2,0,0,0.46801422661263237
100,0,2,2,0,0,0.36655401298902857
101,0,3,2,0,0,0.4188807640511003
102,0,4,2,0,0,0.41452942253675673
103,0,5,2,0,0,0.7435502890089558
104,0,6,2,0,0,0.48232591693932314
105,0,0,2,1,0,0.3181203597050388
106,0,1,2,1,0,0.514513544159692
