,partitions,categories,depths,subjects,betas
99,0,4,1,1,1.0644457923115476
100,0,4,1,2,1.1515483203741228
101,0,4,1,3,1.277786404038595
102,0,4,1,4,1.1002256832418937
103,0,4,1,5,0.7186034816359701
104,0,4,1,6,1.0288160647946964
105,0,5,-1,0,2.4204702453940237
106,0,5,-1,1,1.268412250629369
107,0,5,-1,2,2.233851954273468
108,0,5,-1,3,1.7744594310240867
109,0,5,-1,4,1.9161232745574068
110,0,5,-1,5,1.4774663058141977
111,0,5,-1,6,2.520819522284413
112,0,5,0,0,1.7956102285578215
113,0,5,0,1,1.1501186655571503
114,0,5,0,2,1.4958916436382288
115,0,5,0,3,1.3223369347216407
116,0,5,0,4,1.5406940325109713
117,0,5,0,5,0.9938782134284356
118,0,5,0,6,1.8077796419668093
119,0,5,1,0,1.2068961358250725
120,0,5,1,1,0.9010280197272783
121,0,5,1,2,1.073808806222293
122,0,5,1,3,1.1151250507905193
123,0,5,1,4,1.0915215573295405
124,0,5,1,5,0.8463445397585588
125,0,5,1,6,0.8439805609585418
126,0,6,-1,0,2.230539990034163
127,0,6,-1,1,1.5639268341425092
128,0,6,-1,2,1.2912942847517883
129,0,6,-1,3,1.514367925662851
130,0,6,-1,4,1.219370543399958
131,0,6,-1,5,0.8789346354177545
132,0,6,-1,6,3.0931472947532175
133,0,6,0,0,1.6541980606444189
134,0,6,0,1,1.3866841057437376
135,0,6,0,2,0.9833579772718662
136,0,6,0,3,1.104101092851357
137,0,6,0,4,1.0026842207175546
138,0,6,0,5,0.6094195611477623
139,0,6,0,6,2.323587694435144
140,0,6,1,0,1.0667429417892493
141,0,6,1,1,1.0660275445517562
142,0,6,1,2,0.7531458278834581
143,0,6,1,3,0.9487255994243757
144,0,6,1,4,0.7677740609762661
145,0,6,1,5,0.5216632009759179
146,0,6,1,6,1.1214654147449243
147,0,7,-1,0,2.3549461271563645
148,0,7,-1,1,1.743089970356391
149,0,7,-1,2,1.102115957306068
150,0,7,-1,3,1.5351421761183839
151,0,7,-1,4,1.437760633736018
152,0,7,-1,5,0.7799020258197857
153,0,7,-1,6,2.976902806943112
154,0,7,0,0,1.6951545978293439
155,0,7,0,1,1.4768839100054467
156,0,7,0,2,0.9251972826281548
157,0,7,0,3,1.0649394758607338
158,0,7,0,4,1.1466758694076509
159,0,7,0,5,0.5856834103883345
160,0,7,0,6,2.331796778142887
161,0,7,1,0,1.110754850071551
162,0,7,1,1,1.1232614888569667
163,0,7,1,2,0.692976437508946
164,0,7,1,3,0.9766821193508638
165,0,7,1,4,0.9016532346917658
166,0,7,1,5,0.5685381570763026
167,0,7,1,6,1.256307699239108
168,0,8,-1,0,2.1892796172467857
169,0,8,-1,1,1.6535551085941445
170,0,8,-1,2,1.1158413984668623
171,0,8,-1,3,1.1811100507395926
172,0,8,-1,4,1.1908782052668463
173,0,8,-1,5,0.8363607299829886
174,0,8,-1,6,2.723738145833006
175,0,8,0,0,1.6127490631066068
176,0,8,0,1,1.471778694990752
177,0,8,0,2,0.9292933614859897
178,0,8,0,3,0.8678597904789066
179,0,8,0,4,0.9948355345727705
180,0,8,0,5,0.5883615217910311
181,0,8,0,6,2.1407877006561002
182,0,8,1,0,1.0631799420896673
183,0,8,1,1,1.1094900821310356
184,0,8,1,2,0.7148963320418787
